RNK,"PLAYER, TEAM POS",  FG%,  FT%,  3PM,  REB,  AST,  STL,  BLK,  PTS
111,"Kenneth Faried, Den PF  DTDBreaking News",0.559,0.628,0,9.9,1,1.1,1.2,12.7
112,"Ramon Sessions, Cha PG",0.431,0.825,0.5,3,4,0.8,0.1,12.7
113,"Eric Bledsoe, Pho PG, SGBreaking News",0.438,0.766,0.6,4.7,5.1,1.7,0.9,12.7
114,"Serge Ibaka, OKC PF, CRecent News",0.561,0.733,0.2,8.2,0.5,0.4,3.3,12.6
115,"Jordan Crawford, Bos SG",0.408,0.813,1.2,2.9,3.1,0.7,0.1,12.5
116,"Steve Nash, LAL PG  DTDBreaking News",0.505,0.913,1.2,2.8,7,0.6,0.1,12.4
117,"Avery Bradley, Bos SGRecent News",0.416,0.767,1,2.6,5.5,1.5,0.4,12.4
118,"Iman Shumpert, NY SG, PGRecent News",0.419,0.779,1.3,3.9,3.1,1.9,0.2,12.3
119,"Vince Carter, Dal SG, SFRecent News",0.432,0.806,1.7,3.8,2.2,0.9,0.5,12.2
120,"Antawn Jamison, LAC PFRecent News",0.437,0.698,1.2,5.4,1.1,0.5,0.4,12.2
121,"Ricky Rubio, Min PGBreaking News",0.36,0.8,0.7,4.6,8.6,2.7,0.1,12.2
122,"Nene , Wsh PF, C",0.491,0.706,0,6.7,2.5,0.9,0.7,12.1
123,"Cody Zeller, Cha PF, C",0.501,0.74,0,6.5,1.2,0.9,1,12.1
124,"Marcin Gortat, Wsh CBreaking News",0.537,0.663,0,8.7,1.1,0.6,1.5,12.1
125,"Alec Burks, Uta SG",0.422,0.719,0.7,3.9,2.1,0.9,0.3,12.1
126,"Chauncey Billups, Det PG  DTDBreaking News",0.4,0.923,1.7,2.1,3.7,0.5,0.1,12.1
127,"Derrick Williams, Min PF, SFRecent News",0.425,0.704,0.8,5.8,0.7,0.6,0.5,12
128,"Kyle Lowry, Tor PG  DTDBreaking News",0.408,0.802,1.5,4.4,6.2,1.4,0.3,12
129,"Trey Burke*, Uta PG  ORecent News",0.42,0.8,1.2,3.2,5.5,1.1,0.1,12
130,"Jarrett Jack, Cle PGRecent News",0.457,0.851,0.8,3,5,0.7,0.1,12
131,"Michael Carter-Williams, Phi PG",0.396,0.717,1.2,2.9,6.2,1.2,0.3,12
132,"Manu Ginobili, SA SG",0.441,0.828,1.4,3.1,4.2,1.2,0.2,11.9
133,"Danny Green, SA SG, SF",0.448,0.835,2.4,3.7,1.9,1.3,0.8,11.9
134,"Michael Beasley, Mia SF, PF",0.422,0.734,0.7,4.1,1.5,0.5,0.5,11.8
135,"Nate Robinson, Den PG, SG  DTDBreaking News",0.428,0.813,1.5,2.1,4,1,0.1,11.7
136,"Tristan Thompson, Cle PFRecent News",0.492,0.594,0,9.1,1.1,0.7,1,11.6
137,"Jared Dudley, LAC SF, SG",0.473,0.765,1.3,3.7,2.3,1,0.2,11.6
138,"Tiago Splitter, SA PF, C",0.569,0.704,0,7.1,1.7,0.8,0.9,11.6
139,"Kentavious Caldwell-Pope, Det SG",0.425,0.782,1.7,3.2,1.7,1.3,0.2,11.6
